City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Ushuaia,20,AR,1570079116,97,-54.81,-68.31,41.0,26.4
Provideniya,75,RU,1570079116,86,64.42,-173.23,37.4,15.66
Chuy,80,UY,1570078949,78,-33.69,-53.46,56.29,11.86
Bluff,0,AU,1570079117,23,-23.58,149.07,82.89,15.48
Joshimath,0,IN,1570079117,52,30.57,79.57,61.56,6.49
Mana,30,NG,1570079117,83,13.03,5.27,76.72,7.11
Rikitea,66,PF,1570078788,76,-23.12,-134.97,66.69,14.74
Vaini,20,IN,1570078776,78,15.34,74.49,78.8,6.93
Nizwa,0,OM,1570079118,45,22.93,57.53,83.61,5.95
Busselton,87,AU,1570078929,33,-33.64,115.35,78.01,10.29
Ibra,0,OM,1570079118,43,22.69,58.55,86.72,6.26
Avarua,48,CK,1570079119,64,-21.21,-159.78,75.2,6.93
Vyazemskiy,100,RU,1570079119,84,47.53,134.76,44.57,12.08
Tazovskiy,98,RU,1570079120,89,67.47,78.7,45.54,12.57
Lebu,75,ET,1570079120,77,8.96,38.73,59.0,5.82
Mahebourg,75,MU,1570078994,94,-20.41,57.7,77.0,6.93
Butaritari,84,KI,1570078896,59,3.07,172.79,85.23,3.31
Khatanga,0,RU,1570079121,58,71.98,102.47,27.0,9.06
Arraial do Cabo,0,BR,1570079121,86,-22.97,-42.02,68.09,18.45
Hermanus,21,ZA,1570079121,77,-34.42,19.24,55.99,10.4
Fortuna,90,US,1570079121,87,40.6,-124.16,53.01,3.36
Mataura,45,NZ,1570079122,91,-46.19,168.86,48.0,7.0
Srednekolymsk,100,RU,1570079124,94,67.46,153.71,28.3,19.82
Puerto Ayora,69,EC,1570079124,94,-0.74,-90.35,66.99,3.0
Bredasdorp,44,ZA,1570079124,87,-34.53,20.04,52.0,5.82
Cherskiy,50,RU,1570079124,82,68.75,161.3,25.51,14.83
Cape Town,20,ZA,1570078992,93,-33.93,18.42,61.0,2.24
Atuona,12,PF,1570079129,76,-9.8,-139.03,79.63,10.69
Georgetown,0,GY,1570079130,94,6.8,-58.16,77.0,2.64
Hasaki,75,JP,1570079010,61,35.73,140.83,88.0,11.41
Tienen,79,BE,1570079131,87,50.81,4.94,50.0,8.05
Sao Joao da Barra,13,BR,1570078974,97,-21.64,-41.05,64.24,0.63
Kodiak,90,US,1570079133,93,39.95,-94.76,57.2,11.41
Kapaa,40,US,1570078835,74,22.08,-159.32,84.2,19.46
Barrow,0,AR,1570079134,84,-38.31,-60.23,34.09,6.51
Bethel,75,US,1570079120,87,60.79,-161.76,46.4,5.82
Albany,90,US,1570079135,57,42.65,-73.75,51.01,9.17
Rabo de Peixe,40,PT,1570079135,77,37.8,-25.58,71.01,8.05
Nishihara,75,JP,1570079136,48,35.74,139.53,87.01,16.11
Port Lincoln,31,AU,1570079136,84,-34.72,135.86,57.56,13.35
Surt,0,LY,1570079137,63,31.21,16.59,78.1,13.76
Tokur,50,RU,1570079137,37,53.13,132.9,40.75,7.63
Tilichiki,57,RU,1570079138,85,60.47,166.1,29.68,8.08
Kruisfontein,100,ZA,1570079138,80,-34.0,24.73,60.68,19.91
Katete,8,UG,1570079140,79,-0.78,29.75,69.59,1.45
Jamestown,8,AU,1570079143,16,-33.21,138.6,84.65,8.39
Mar del Plata,0,AR,1570079143,54,-46.43,-67.52,43.24,10.36
Punta Arenas,0,CL,1570079144,76,-53.16,-70.91,41.0,19.46
Amapa,20,HN,1570079145,94,15.09,-87.97,78.8,2.24
Hobart,0,AU,1570079145,20,-42.88,147.33,84.0,13.87
Grand Forks,90,US,1570079149,100,47.91,-97.06,39.2,6.93
Daokou,31,CN,1570079150,44,35.61,105.12,63.45,13.58
Rio Gallegos,0,AR,1570078877,72,-51.62,-69.22,39.2,11.41
North Bend,90,US,1570079151,93,43.41,-124.22,53.01,6.93
Salalah,40,OM,1570079151,78,17.01,54.1,80.6,3.36
Dikson,100,RU,1570079152,66,73.51,80.55,28.04,26.06
Shudayag,60,RU,1570079153,82,63.53,53.61,41.63,9.48
Isangel,75,VU,1570079066,57,-19.55,169.27,78.8,14.99
Great Falls,1,US,1570079154,74,47.5,-111.29,35.6,5.82
Port Alfred,34,ZA,1570079156,86,-33.59,26.89,64.99,11.99
Genhe,73,CN,1570079156,36,50.78,121.52,41.8,5.37
Kaliganj,3,BD,1570079157,64,23.41,89.13,89.01,2.39
Codrington,0,AU,1570079086,32,-28.95,153.24,82.4,8.05
Along,34,IN,1570079158,94,28.17,94.8,64.1,4.61
